Cache Level, Total Size (bytes), Latency (seconds)
L1 Cache,12288,0.008169568
L1 Cache,24576,0.01147991
L1 Cache,36864,0.017602721
L1 Cache,49152,0.021478889
L1 Cache,61440,0.027205772
L1 Cache,73728,0.033178587
L1 Cache,86016,0.043015599
L1 Cache,98304,0.043565145
L2 Cache,327680,0.152338899
L2 Cache,655360,0.30934204
L2 Cache,983040,0.478294315
L2 Cache,1310720,0.632065404
L2 Cache,1638400,0.835292022
L2 Cache,1966080,0.97228758
L2 Cache,2293760,1.10959304
L2 Cache,2621440,1.254512396
L3 Cache,6291456,3.024497548
L3 Cache,12582912,6.136821961
L3 Cache,18874368,9.852746717
L3 Cache,25165824,13.16190923
L3 Cache,31457280,16.38707114
L3 Cache,37748736,19.55526065
L3 Cache,44040192,22.17260475
L3 Cache,50331648,25.5996516
