Chunk Size (bytes),Read Ratio,Write Ratio,Bandwidth (GB/s)
64,100.0%,0.0%,0.31
64,90.0%,10.0%,0.33
64,80.0%,20.0%,0.35
64,70.0%,30.0%,0.36
64,60.0%,40.0%,0.37
64,50.0%,50.0%,0.41
64,40.0%,60.0%,0.45
64,30.0%,70.0%,0.51
64,20.0%,80.0%,0.59
64,10.0%,90.0%,0.64
64,0.0%,100.0%,0.72
256,100.0%,0.0%,1.39
256,90.0%,10.0%,1.45
256,80.0%,20.0%,1.61
256,70.0%,30.0%,1.54
256,60.0%,40.0%,1.86
256,50.0%,50.0%,1.78
256,40.0%,60.0%,2.06
256,30.0%,70.0%,2.24
256,20.0%,80.0%,2.38
256,10.0%,90.0%,2.15
256,0.0%,100.0%,2.78
512,100.0%,0.0%,2.80
512,90.0%,10.0%,3.20
512,80.0%,20.0%,2.44
512,70.0%,30.0%,3.51
512,60.0%,40.0%,3.27
512,50.0%,50.0%,3.88
512,40.0%,60.0%,3.25
512,30.0%,70.0%,3.85
512,20.0%,80.0%,4.87
512,10.0%,90.0%,4.76
512,0.0%,100.0%,4.30
1024,100.0%,0.0%,5.52
1024,90.0%,10.0%,6.47
1024,80.0%,20.0%,6.60
1024,70.0%,30.0%,6.62
1024,60.0%,40.0%,6.62
1024,50.0%,50.0%,5.72
1024,40.0%,60.0%,6.11
1024,30.0%,70.0%,8.51
1024,20.0%,80.0%,9.90
1024,10.0%,90.0%,8.64
1024,0.0%,100.0%,10.42
2048,100.0%,0.0%,11.96
2048,90.0%,10.0%,11.44
2048,80.0%,20.0%,12.01
2048,70.0%,30.0%,13.33
2048,60.0%,40.0%,12.47
2048,50.0%,50.0%,16.04
2048,40.0%,60.0%,11.58
2048,30.0%,70.0%,13.97
2048,20.0%,80.0%,19.28
2048,10.0%,90.0%,15.13
2048,0.0%,100.0%,22.68
5096,100.0%,0.0%,25.53
5096,90.0%,10.0%,26.60
5096,80.0%,20.0%,26.86
5096,70.0%,30.0%,34.09
5096,60.0%,40.0%,35.35
5096,50.0%,50.0%,28.66
5096,40.0%,60.0%,37.33
5096,30.0%,70.0%,45.23
5096,20.0%,80.0%,42.68
5096,10.0%,90.0%,24.55
5096,0.0%,100.0%,59.61
