Threads,Operation Type,Latency (us),Throughput (ops/sec)
1,read,0.0029,170068027210.8844
2,read,0.0025,202757502027.5750
3,read,0.0031,163600525624.1787
4,read,0.0036,138045278851.4633
5,read,0.0031,163934426229.5082
6,read,0.0037,133942980096.8262
7,read,0.0040,126270325203.2520
8,read,0.0068,73743681236.9908
9,read,0.0054,93220338983.0508
10,read,0.0069,72337962962.9630
11,read,0.0074,67919868276.6191
12,read,0.0043,116698292220.1138
13,read,0.0125,40032414910.8590
14,read,0.0082,61021170610.2117
15,read,0.0110,45647362596.8277
16,read,0.0069,72345390898.4831
1,write,0.0029,174703004891.6841
2,write,0.0037,136836343732.8955
3,write,0.0055,90710382513.6612
4,write,0.0048,103863730785.2098
5,write,0.0047,106746370623.3988
6,write,0.0050,99879663056.5584
7,write,0.0057,88183108587.6508
8,write,0.0033,150303030303.0303
9,write,0.0051,98175327251.0908
10,write,0.0064,78394481028.5356
11,write,0.0086,58044090056.2852
12,write,0.0071,70649052268.8110
13,write,0.0073,68725653867.5571
14,write,0.0056,88961510530.1380
15,write,0.0070,71161587119.0339
16,write,0.0081,61355764473.0332
1,combined,0.0039,129735339906.5905
2,combined,0.0035,141242937853.1074
3,combined,0.0051,97494126859.8277
4,combined,0.0171,29214277300.0353
5,combined,0.0091,54981306355.8390
6,combined,0.0071,70547748781.1873
7,combined,0.0064,78050334501.4336
8,combined,0.0086,57971014492.7536
9,combined,0.0077,65182403433.4764
10,combined,0.0093,54030689431.5972
11,combined,0.0070,71071953010.2790
12,combined,0.0102,48830111902.3398
13,combined,0.0081,61657513729.4059
14,combined,0.0139,35843373493.9759
15,combined,0.0122,40823269263.4802
16,combined,0.0101,49679155454.3573
