Number of Pages, Latency (seconds)
500, 0.004854272
1000, 0.010921352
1500, 0.015674782
2000, 0.021136178
2500, 0.027047786
3000, 0.033395781
3500, 0.036372268
4000, 0.045416503
4500, 0.049800869
5000, 0.053117423
5500, 0.059232377
6000, 0.069689783
6500, 0.071293713
7000, 0.074861154
7500, 0.080751696
8000, 0.092397729
8500, 0.095705320
9000, 0.103137076
9500, 0.119247427
10000, 0.136584633
10500, 0.115028127
11000, 0.164023285
11500, 0.127361109
12000, 0.158715887
12500, 0.141816674
13000, 0.151922996
13500, 0.153062607
14000, 0.163033113
14500, 0.169374682
15000, 0.206330179
15500, 0.207457570
16000, 0.193219538
16500, 0.182026373
17000, 0.186548701
17500, 0.188258334
18000, 0.207104905
18500, 0.204185413
19000, 0.218716203
19500, 0.217839289
20000, 0.236088218
20500, 0.224171635
21000, 0.235353373
21500, 0.230341772
22000, 0.246290637
22500, 0.246288715
23000, 0.256409010
23500, 0.260982687
24000, 0.260063133
24500, 0.274570061
25000, 0.274876610
25500, 0.282072594
26000, 0.293006398
26500, 0.286828137
27000, 0.287325460
27500, 0.312677551
28000, 0.350424720
28500, 0.321850319
29000, 0.330373745
29500, 0.328475150
30000, 0.335586257
30500, 0.336382465
31000, 0.371138767
31500, 0.353764526
32000, 0.372852837
32500, 0.370882314
33000, 0.399788668
33500, 0.387150179
34000, 0.389950287
34500, 0.394000247
35000, 0.426175462
35500, 0.413430608
36000, 0.416473054
36500, 0.401738852
37000, 0.412854726
37500, 0.426485067
38000, 0.421004167
38500, 0.426290807
39000, 0.432742428
39500, 0.447514259
40000, 0.450559346
40500, 0.458143448
41000, 0.461154428
41500, 0.454067686
42000, 0.492716815
42500, 0.490912007
43000, 0.481243100
43500, 0.484524671
44000, 0.494959335
44500, 0.495835407
45000, 0.500713532
45500, 0.507317769
46000, 0.516699751
46500, 0.512537402
47000, 0.528442231
47500, 0.547525197
48000, 0.563733896
48500, 0.546785630
49000, 0.553197758
49500, 0.545458012
50000, 0.548777906
50500, 0.582391947
51000, 0.588113495
51500, 0.575457483
52000, 0.599131615
52500, 0.581012185
53000, 0.594807959
53500, 0.617193494
54000, 0.598719140
54500, 0.587135809
55000, 0.600874832
55500, 0.623634502
56000, 0.607686541
56500, 0.613310676
57000, 0.628366354
57500, 0.633459854
58000, 0.633655278
58500, 0.642559001
59000, 0.635994845
59500, 0.661111137
60000, 0.658677571
60500, 0.658458449
61000, 0.670903640
61500, 0.688065207
62000, 0.668375486
62500, 0.681412924
63000, 0.680823650
63500, 0.708312159
64000, 0.701818708
64500, 0.699740628
65000, 0.732606365
65500, 0.748342083
66000, 0.753553229
66500, 0.793267146
67000, 0.754068454
67500, 0.762473229
68000, 0.753559841
68500, 0.757177343
69000, 0.796759306
69500, 0.779656957
70000, 0.766013308
70500, 0.766742968
71000, 0.894728145
71500, 0.803333575
72000, 0.924498249
72500, 0.811933384
73000, 0.807690915
73500, 0.867311333
74000, 0.861996884
74500, 0.883641079
75000, 0.915398489
75500, 0.864168485
76000, 0.858374937
76500, 0.880095832
77000, 0.876372008
77500, 0.883159791
78000, 0.935606457
78500, 0.877330880
79000, 0.888151223
79500, 0.881587514
80000, 0.890009147
80500, 0.899933659
81000, 0.898117392
81500, 0.910184095
82000, 0.966069780
82500, 0.900246946
83000, 0.905929516
83500, 0.915490272
84000, 0.951675000
84500, 0.937576485
85000, 0.929458253
85500, 0.964836151
86000, 0.946134709
86500, 0.958633480
87000, 0.957107163
87500, 1.028505467
88000, 0.990542607
88500, 0.993880666
89000, 0.985206249
89500, 1.018359529
90000, 1.007938735
90500, 1.009078601
91000, 0.982803037
91500, 1.037776264
92000, 1.054118355
92500, 1.032106202
93000, 1.025620777
93500, 1.055482835
94000, 1.088558396
94500, 1.104725800
95000, 1.096664388
95500, 1.087659366
96000, 1.078261684
96500, 1.106601483
97000, 1.082714296
97500, 1.085460573
98000, 1.107492059
98500, 1.073433469
99000, 1.089438060
99500, 1.116666386
100000, 1.124246652
